Break estimates and errors in mm.
Break times in years.

                           N             E             V      SN      SE      SV
P304 2006.3491        -0.883         1.861        13.404   1.475   1.193   4.732
P304 2008.4025        -2.095         0.385        -9.849   1.196   0.960   3.849
P304 2009.4237        -4.191        -1.596       -14.791   1.180   0.948   3.812
P304 2010.6365        -0.468        -2.999         3.671   1.138   0.921   3.678
P304 2011.6386         0.950        -1.723        13.819   1.178   0.943   3.791
P304 2012.5092        -7.674        -2.772       -11.066   1.209   0.963   3.883
P304 2013.3689        -2.945         0.158       -17.998   1.227   0.976   3.954
P304 2014.2204         0.147         1.217       -12.701   1.546   1.224   4.992
P304 2014.5982         0.075         1.516       -13.573   1.591   1.263   5.126
P304 2015.3292        -0.123         1.550       -17.974   1.278   1.029   4.105
P304 2016.1752         2.018         1.089       -12.643   1.566   1.300   5.037
P304 2016.4983        -0.872        -1.092       -15.285   1.583   1.321   5.074
P304 2017.2895         3.105        -0.238         8.003   1.406   1.169   4.502
P304 2017.7632         2.481         1.661         8.206   1.351   1.121   4.341
P305 2006.0014        -0.692        -1.085        -4.348   1.494   1.191   4.932
P305 2010.0725        -0.479        -0.839        -7.259   1.171   0.929   3.874
P305 2010.9733         0.564         0.716        -5.047   1.105   0.875   3.647
P305 2013.6016        -0.076         0.285         4.862   1.003   0.790   3.337
P305 2015.9781         1.300        -0.383        -5.777   1.064   0.857   3.528
P305 2017.0294         1.183        -0.634        -9.655   1.038   0.847   3.438
P305 2019.0746         3.937         2.103        -5.515   1.114   0.911   3.714
P306 2010.0698        -1.777         0.050        -5.957   1.114   0.909   3.717
P306 2010.9760         0.159         0.481        -6.901   1.082   0.883   3.621
P306 2013.5058        -0.429        -0.086         6.541   1.024   0.839   3.469
P306 2016.9144         3.597        -1.154       -11.844   0.987   0.824   3.281
P306 2019.0308         1.247        -0.018        -6.728   1.000   0.831   3.273
P307 2007.0500        -0.985        -0.406        14.577   1.311   1.054   4.494
P307 2007.9808        -0.424         0.901        14.442   1.352   1.073   4.602
P307 2009.9274        -0.212        -0.272         9.613   1.416   1.120   4.810
P307 2011.8960        -1.140         1.029        10.424   1.356   1.067   4.662
P307 2013.4483         0.217        -0.658        -3.995   1.310   1.041   4.561
P307 2014.5927         0.148        -0.584       -12.932   1.328   1.058   4.559
P307 2015.5565        -0.076        -1.793       -20.712   1.533   1.252   5.247
P307 2016.6461         1.318        -0.138       -19.245   1.494   1.229   5.090
P307 2017.5250        -1.062        -0.482       -23.000   1.356   1.120   4.650
P307 2018.5188         0.655         0.138       -25.451   1.346   1.090   4.554
P307 2019.4990         1.665        -2.282       -25.248   1.481   1.189   4.999
P308 2010.9843        -1.445         0.036        -7.791   1.419   1.182   5.193
P308 2011.6632         0.069        -0.673        10.474   1.222   1.013   4.473
P308 2013.6099        -0.177         1.140        10.211   1.113   0.927   4.043
P308 2017.0048         0.469        -0.561       -13.699   1.410   1.243   5.179
P308 2017.4511        -0.582        -0.221         6.294   1.393   1.232   5.114
P309 2010.0725        -1.601         0.409        -8.013   1.100   0.871   3.583
P309 2013.4894        -0.091        -3.367         3.117   0.978   0.770   3.183
P309 2015.6661         5.787        -2.651        -1.440   1.552   1.221   4.985
P309 2015.9781         1.639         0.311        -6.252   1.646   1.303   5.277
P309 2017.0294         0.323         0.010        -9.691   1.043   0.842   3.353
P309 2019.0965         1.465         0.126        -5.999   1.001   0.809   3.230
P310 2010.1328        -1.437        -1.816       -10.755   0.990   0.814   3.355
P310 2015.9808        -0.172        -0.737        -6.776   1.046   0.896   3.737
P310 2017.0048         0.307        -0.127       -15.592   1.466   1.286   5.340
P310 2017.4182        -0.391        -0.723         4.805   1.403   1.235   5.126
P310 2019.0390         1.234        -0.074        -9.453   1.024   0.904   3.813
P311 2010.1300        -1.262        -1.004        -3.623   1.083   0.862   3.424
P311 2011.1184        -0.782        -0.254        -5.208   1.335   1.047   4.226
P311 2011.6632         1.273         1.124         8.778   1.606   1.258   5.064
P311 2012.1068        -3.497        -1.468         0.984   1.431   1.125   4.493
P311 2015.9781         1.400        -1.172        -4.857   1.172   0.951   3.686
P311 2017.0048        -0.580        -2.310       -11.622   1.374   1.140   4.326
P311 2017.4456         1.805         2.729         6.667   1.887   1.568   5.945
P311 2017.6975        -2.015        -0.901         7.419   1.650   1.366   5.194
P311 2019.1157        -0.465        -1.097        -8.171   1.299   1.069   4.113
P311 2019.6194        -3.992         0.396         8.069   1.525   1.252   4.821
P312 2015.3321         3.233        -5.245        -8.495   1.651   1.307   7.702
P312 2016.0821         2.382         0.247       -11.477   2.170   1.759  10.477
P312 2016.6680        -6.996        -4.657        42.943   4.548   3.605  23.130
P312 2016.7994         4.362         0.205       -29.809   6.372   5.019  32.873
P312 2017.0789         3.624         3.526       -18.304   4.942   3.890  25.562
P312 2018.6502         2.127         3.030         3.373   2.652   1.968  13.908
P312 2019.1430        -2.313        10.604        25.968   4.692   3.517  24.973
P312 2019.3073         2.387        -8.726       -15.071   6.323   4.780  34.059
P312 2019.4168         0.745        -4.119       -12.943   5.311   3.999  28.637
P313 2009.4620        -2.248        -1.679        -2.478   0.996   0.761   3.256
P313 2015.9533         0.825        -0.361        -6.998   1.314   1.003   4.701
P313 2016.9141         1.703        -0.270        -9.247   1.588   1.240   5.962
P313 2018.4844         3.453        -5.484        -4.293   1.620   1.258   6.061
P313 2019.4278         1.688         0.024        -7.071   1.873   1.410   7.009
P314 2013.7960        -0.570         0.915         3.908   0.775   0.592   2.391
P314 2016.8925        -0.268        -0.962        -4.341   0.760   0.596   2.335
P314 2018.7844        -0.418         3.332         2.524   0.888   0.701   2.721
P315 2009.4675        -1.175        -1.639        -6.296   1.091   0.861   3.770
P315 2015.9754         0.961         0.057        -8.592   1.047   0.827   3.614
P315 2019.0308         3.310        -1.492        -2.461   1.281   1.044   4.407
P316 2010.0890        -3.535        -1.139         0.925   1.292   1.020   4.540
P316 2013.5414        -2.954         3.820        -0.617   1.482   1.083   5.266
P316 2014.2396        -8.521         5.117         0.291   2.423   1.741   9.001
P316 2014.5942         7.115        -7.173        -0.180   2.210   1.596   8.303
P316 2016.3559         2.827         0.607       -13.439   1.421   1.101   5.354
P316 2017.1253        -3.311        -0.116         8.721   1.412   1.114   5.315
P317 2013.4921        -1.407         0.001         3.557   1.018   0.752   3.959
P317 2015.9423         1.553         1.014        -3.711   0.938   0.708   3.695
P318 2008.2355         0.831        -2.470         1.814   0.930   0.743   3.091
P318 2011.6222        -1.251        -0.254         4.085   0.812   0.625   2.538
P318 2013.4976        -1.525         1.043         6.243   0.906   0.694   2.833
P319 2007.4853        -1.584         1.007         5.318   0.892   0.704   2.938
P319 2010.0862        -4.428         0.980        -6.121   1.001   0.782   3.285
P319 2015.8932         2.293        -0.550        -7.402   1.141   0.907   3.745
P319 2016.8898         2.451        -0.774        -4.690   1.194   0.960   3.913
P319 2018.9788         3.221        -0.588        -4.252   1.240   1.002   4.070
P320 2013.5578        -1.622         0.825         7.638   1.103   0.784   3.638
P321 2016.8845         2.321        -1.023        -5.823   0.959   0.886   4.083
P322 2010.0835        -2.441         1.584        -3.247   0.942   0.720   2.965
P322 2013.5332        -1.248         1.112         6.833   0.975   0.740   3.047
P324 2010.0342        -2.346         2.200        -3.315   1.121   0.856   3.480
P324 2013.4073        -0.973        -2.401         4.559   1.155   0.867   3.585
P324 2014.1903        -1.478         4.140         0.896   1.334   0.997   4.133
P324 2014.9459         0.298         0.909        -5.354   1.171   0.885   3.619
P324 2016.9338         1.127         1.228        -6.054   1.428   1.127   4.445
P324 2017.5414        -0.755        -2.079         2.902   1.377   1.092   4.293
P325 2010.0780        -2.889         0.132        -3.588   1.094   0.834   3.377
P325 2014.1875        -1.459         4.926        -0.499   1.048   0.796   3.241
P325 2016.8843         0.802         1.299        -7.570   1.031   0.797   3.194
P325 2019.3239         6.667        -8.188        -1.031   1.078   0.838   3.289
P326 2010.0589        -3.924         3.362        -3.502   1.030   0.802   3.430
P326 2013.4976        -0.379        -1.780         4.771   1.208   0.920   4.040
P326 2014.1903        -1.594         6.660        -2.234   1.243   0.948   4.160
P326 2015.9206        -0.246         0.964        -6.342   1.042   0.816   3.483
P327 2010.0233        -2.570         3.681        -7.874   1.316   1.010   4.239
P327 2014.8255        -1.072         4.456        -6.269   1.285   0.986   4.120
P327 2016.9144         1.222         0.777        -7.694   1.106   0.868   3.590
P327 2019.0582         2.059         0.520        -3.331   1.293   1.026   4.221
P329 2013.5003        -1.629        -0.205         6.258   0.947   0.721   2.905
P329 2015.9618         1.376         0.524        -4.943   0.921   0.717   2.823
P329 2017.6235        -0.831        -2.952         2.459   0.918   0.721   2.807
P330 2013.4045        -0.562         0.120         6.490   0.944   0.716   2.880
P330 2016.8843         1.936         0.872        -9.252   1.225   0.957   3.712
P330 2017.3799        -0.406        -2.083         6.906   1.250   0.981   3.785
P331 2013.4976        -0.583        -1.625         8.408   1.106   0.829   3.387
P331 2014.2204        -0.445         3.887        -1.571   1.097   0.822   3.360
P332 2010.7406         2.589         4.673        -2.211   1.038   0.789   3.240
P332 2013.5003        -0.488        -1.785         5.355   1.170   0.870   3.625
P332 2014.1903        -1.155         3.435        -1.835   1.167   0.869   3.613
P332 2016.8953         0.869        -0.052        -7.680   0.902   0.695   2.788
P333 2013.5086        -1.837         0.690         7.468   0.916   0.739   3.123
P334 2013.8179        -0.768         3.740         7.118   0.961   0.746   3.001
P334 2015.9918         1.849        -0.680        -5.535   0.987   0.777   3.059
P335 2011.0144         2.318         0.232        -2.497   0.876   0.673   2.793
P336 2010.0534        -0.808         1.370        -4.193   0.918   0.711   2.860
P336 2017.1802         0.896         0.175        -8.103   0.974   0.768   3.014
P337 2013.4976        -1.350        -2.416         2.181   1.018   0.823   3.551
P337 2016.9336         2.878         0.661        -8.322   1.140   0.951   4.055
P337 2017.6372        -4.735        -6.116        13.406   1.821   1.463   5.993
P337 2018.9788         3.250         0.806        -2.417   1.648   1.300   5.194
P338 2010.0739         0.053         0.587        -9.900   1.005   0.771   3.188
P338 2016.0356         0.468         1.715        -7.767   1.158   0.910   3.671
P338 2016.9144         0.241        -0.012        -6.624   1.123   0.891   3.555
P338 2019.1239         0.905        -0.241        -7.117   1.007   0.798   3.181
P339 2013.5962        -0.270         0.144         5.885   0.950   0.734   3.011
P339 2016.8843         1.410         0.280        -7.548   0.916   0.723   2.902
P340 2011.2361        -9.432         3.223         0.304   1.449   1.127   6.899
P340 2014.5654         7.061         2.877         2.932   1.277   0.995   6.093
P340 2016.1697        -4.470         0.812        -6.462   1.325   1.081   6.367
P340 2017.1061       -18.741         6.282        -9.737   1.342   1.104   6.468
P341 2010.0643        -0.134         0.938        -9.252   1.034   0.779   3.374
P341 2015.9781         0.178         0.914       -10.049   1.076   0.823   3.469
P341 2016.9446         0.577         0.358        -6.437   1.077   0.837   3.471
P341 2018.5435         2.933        -4.070        -4.345   1.048   0.807   3.343
P343 2008.3340        -1.030        -1.217         6.426   1.107   0.849   3.397
P343 2010.0808        -2.219         0.534        -3.898   1.037   0.785   3.143
P343 2011.8166        -0.005        -1.225         6.680   1.004   0.758   3.033
P343 2013.4976        -0.231        -1.321         6.002   1.163   0.870   3.529
P343 2014.1903        -1.074         3.419         1.737   1.203   0.904   3.653
P344 2010.0698        -0.931         0.610        -7.942   0.979   0.755   3.073
P344 2015.9781        -0.003         0.304        -5.945   1.056   0.829   3.309
P344 2016.8871         0.742         0.444        -7.421   1.016   0.805   3.176
P344 2018.9541         3.848         3.596        -5.877   0.940   0.746   2.926
P345 2010.0920        -0.596         0.762        -7.797   1.037   0.802   3.377
P345 2015.9781         0.438         0.058        -7.812   1.203   0.958   3.947
P345 2016.8925         0.440        -0.000        -7.526   1.169   0.942   3.849
P345 2019.1239         1.444        -0.362        -7.939   1.394   1.142   4.636
P345 2019.5811         8.128        -1.374        -1.049   1.691   1.376   5.619
P346 2013.6153         1.351         2.948        11.929   0.924   0.695   2.845
P347 2013.6126         0.650         1.276         5.313   1.002   0.746   3.055
P347 2017.4238         0.899         0.334        -7.087   0.980   0.744   2.973
P347 2019.1294         1.030         1.422        -5.274   1.036   0.793   3.135
P348 2010.0725        -1.333        -1.503        -8.522   0.989   0.749   3.042
P348 2015.9808        -0.657        -0.814        -7.638   0.996   0.764   3.041
P348 2017.0623        -4.442        12.277        67.118   4.489   3.504  14.088
P348 2017.0951         4.130       -11.948       -75.221   4.456   3.479  13.989
P349 2009.1554         1.278        -0.827        -7.269   1.200   0.998   4.339
P349 2010.1273         0.514        -0.999       -12.615   1.328   1.100   4.752
P349 2011.0062         1.892        -0.002        -9.407   1.257   1.036   4.508
P349 2014.9459         0.908         0.143        -8.754   1.437   1.212   5.368
P349 2015.4962        -1.450         0.487         3.311   1.672   1.413   6.222
P349 2016.0520         3.497        -1.060       -16.414   1.497   1.269   5.510
P349 2016.8953         1.501        -0.402       -13.855   1.167   1.003   4.308
P349 2019.1266         2.319        -1.270       -15.632   1.113   0.950   4.060
P351 2017.1812         2.007        -5.446        43.653   2.412   1.854   7.345
P351 2017.3114         0.933        -2.921        54.503   5.683   4.399  17.682
P351 2017.3388        -1.559         8.280      -102.076   5.249   4.064  16.374
P352 2016.9309         0.891         0.995        -8.469   1.052   0.819   3.236
P353 2016.9254         0.431         0.061        -5.488   0.848   0.627   2.478
P354 2016.9254         0.271        -0.153        -5.069   0.773   0.584   2.306
P355 2016.9254         0.610         0.767        -4.940   0.873   0.663   2.629
P356 2012.4627        -1.601         1.029         8.663   1.036   0.752   3.514
P357 2017.0048         1.190         0.393        -6.394   0.851   0.650   2.613
P358 2014.1383        -2.730        -2.073        -0.085   1.022   0.763   2.974
P358 2016.9172         0.394        -0.559        -6.170   1.043   0.787   3.034
P359 2012.4736         0.168         0.455         4.614   0.991   0.729   2.873
P359 2017.2539         1.320         0.708        -4.009   0.911   0.681   2.628
P360 2008.1410        -0.916         1.819        -2.135   0.829   0.613   2.400
P360 2012.4709        -0.264        -0.152         5.620   0.895   0.660   2.603
P361 2008.5615         9.069        -2.472        -5.070   1.255   0.929   3.590
P361 2009.3853        -8.320        -1.662        -0.328   1.195   0.888   3.442
P361 2010.7161        -4.776         3.168        -0.436   1.031   0.775   3.015
P361 2017.1417         0.059         0.747        -8.606   0.987   0.755   2.882
P361 2019.1951         1.143        -4.916        -3.833   1.064   0.810   3.113
P362 2011.5565         0.162        -1.841         4.383   0.867   0.670   2.684
P362 2013.4976        -0.104        -1.836         3.597   1.058   0.807   3.278
P362 2014.3819        -2.613        -1.605         1.890   1.082   0.828   3.356
P363 2011.6715         2.108         0.644         3.466   1.128   0.858   3.610
P363 2013.5907        -0.761        -1.294         3.798   1.115   0.843   3.567
P364 2015.4990        -1.668        -2.149         2.871   1.468   1.100   4.471
P364 2015.8905         2.888        -0.373        -2.553   1.579   1.189   4.796
P364 2016.8788         3.438         0.797        -1.238   0.988   0.748   2.972
P365 2014.1738        -2.230        -1.438         2.450   0.924   0.678   2.734
P366 2014.1574        -2.852        -3.556         4.207   1.114   0.818   3.496
P366 2016.8843         1.902        -0.406        -4.988   0.985   0.730   3.029
P366 2019.5236        -1.209        -3.902         4.772   1.224   0.908   3.642
P367 2018.6584         4.907         3.855         0.903   0.843   0.627   2.445
P368 2010.1300        -2.114        -2.177        -1.426   1.000   0.749   3.032
P368 2013.5168        -2.338        -2.291         3.714   0.926   0.691   2.803
P368 2015.9452        -1.795        -1.109        -4.935   0.968   0.731   2.930
P369 2016.0767         0.508        -1.219        -6.656   0.832   0.617   2.756
P371 2014.4695        -1.365        -0.986         2.125   0.869   0.657   2.726
P371 2019.1650         3.040         1.449        -5.067   0.956   0.741   2.976
P372 2016.9254         1.092         0.093        -3.497   0.819   0.601   2.411
P373 2008.0493         1.850         4.247        -1.336   0.812   0.604   2.457
P373 2019.1266         3.337        -0.186        -3.920   0.973   0.740   2.940
P374 2009.6673        -2.537        -2.789        -3.030   0.988   0.708   3.024
P374 2016.3806        -1.575        -2.381        -4.722   1.088   0.780   3.359
P375 2016.4079        -4.938         1.444        -6.477   1.357   1.013   3.998
P375 2016.8788         2.154         1.348        -1.727   1.328   0.994   3.906
P376 2005.9001        -0.718        -3.023        -3.154   1.002   0.733   2.989
P376 2019.3347        -2.963         0.690         2.186   1.051   0.766   3.085
P377 2018.6584         1.672         2.594         1.963   1.229   0.911   3.774
P377 2019.3785         2.212        -4.715        -8.594   1.503   1.109   4.556
P378 2018.6584         2.183         2.034         0.320   0.872   0.646   2.550
P380 2005.8097         2.166         1.455        -2.944   1.297   0.975   3.875
P380 2013.6071        -0.977         0.285         3.677   0.843   0.641   2.549
P380 2016.4955        -3.565         2.168        -5.725   0.796   0.617   2.399
P381 2015.9808         0.218        -2.290        -3.909   0.871   0.639   2.563
P382 2015.9810         0.116        -0.343        -5.619   1.001   0.834   4.043
P384 2013.8508         0.549        -4.230         3.770   0.979   0.712   2.869
P385 2008.0849         2.594         0.530       107.551   4.255   3.036  12.925
P385 2008.1369       -41.020         1.422        60.848   7.338   5.152  22.006
P385 2008.1588        14.816         3.312       -58.664   8.099   5.651  24.077
P385 2008.1889        19.133         1.557       -62.948   6.794   4.744  20.628
P385 2008.3176         4.421        -7.636       -48.188   4.293   2.993  13.494
P385 2015.9754         0.417        -0.182        -6.821   0.988   0.690   2.936
P386 2016.9144         4.081        -0.506        -3.366   0.832   0.612   2.432
P387 2008.0493        -4.227         6.211        -3.957   1.002   0.758   3.084
P387 2016.5806         3.102        -5.909        -4.364   0.886   0.673   2.714
P388 2018.8528         6.858        -0.026        -0.023   0.862   0.652   2.590
P389 2008.0657       -14.419         1.513        -0.704   1.790   1.367   5.373
P389 2016.5806         6.058        -0.648        -5.641   0.840   0.628   2.487
P390 2010.5748         2.286        -1.192        -2.506   0.976   0.740   2.991
P390 2017.0595         1.128        -0.479        -7.369   1.017   0.786   3.110
P391 2016.9115         1.482        -0.595        -6.909   1.086   0.818   3.205
P392 2010.9979        -0.079         1.465        -3.237   1.090   0.804   3.235
P392 2011.8576         0.815         0.378         6.657   1.142   0.841   3.390
P392 2016.9281         1.853         0.658        -3.273   1.019   0.769   3.010
P392 2018.7817         2.037         1.384         0.406   1.000   0.757   2.954
P393 2010.0671        -1.062        -0.631        -3.528   0.976   0.723   2.865
P393 2016.9228         1.012        -0.809        -5.874   1.170   0.876   3.428
P394 2016.9309         1.934         0.789        -4.707   0.793   0.584   2.284
P395 2016.1451        -1.839        -6.381        -0.917   0.966   0.624   2.952
P397 2008.0301         0.796         1.717        -0.932   1.485   1.045   4.468
P397 2009.6126        -1.204        -7.426         3.371   1.401   0.976   4.120
P397 2011.5729        -0.725        -4.703         5.851   1.400   0.969   4.149
P397 2013.3114        -0.884        -3.300         4.752   1.356   0.929   4.030
P397 2014.4504        -2.234        -5.130         5.016   1.366   0.932   4.085
P397 2016.1259        -0.752        -5.225         3.377   1.409   0.977   4.268
P397 2016.9199         0.968        -0.153        -2.748   1.382   0.966   4.210
P397 2018.1711        -0.438        -5.096         6.458   1.337   0.933   4.065
P397 2019.3239         3.434        -7.554         2.267   1.415   0.988   4.258
P398 2016.9144         1.591         0.092        -2.876   0.817   0.582   2.361
P400 2009.7933        -2.229        -3.022        10.652   1.370   1.522   6.059
P401 2013.5825        -2.086         1.866         2.798   0.877   0.615   2.490
P401 2019.4252         2.275         6.116        -6.497   1.137   0.814   3.216
P402 2011.6331         0.428        -0.808         4.801   1.630   1.152   4.948
P402 2012.0931        -4.719        -3.784        -3.572   1.683   1.187   5.087
P402 2013.5825        -1.591         0.677         2.482   1.029   0.724   2.980
P402 2019.4718         3.861        -2.039        -0.262   1.388   0.978   3.950
P403 2006.9595         6.019         4.513        -5.034   1.222   0.845   3.598
P403 2013.6427        -2.410         0.745         4.998   1.079   0.773   3.422
P403 2018.3682         0.350        -0.133         6.859   1.002   0.737   3.263
P405 2011.5537        -0.007        -1.468         3.797   1.031   0.742   2.940
P405 2016.1451        -0.778        -2.800         2.698   0.948   0.690   2.703
P405 2019.0719         2.631         1.283        -0.282   0.999   0.733   2.834
P406 2005.9001        -1.945        -2.319        -3.201   1.566   1.126   4.572
P406 2009.6673        -1.873        -2.452        -0.882   0.920   0.664   2.698
P406 2016.9172         3.016        -0.205        -2.512   0.894   0.657   2.613
P407 2006.7324         2.086         4.004        -1.651   1.419   1.081   4.871
P407 2018.0041         1.771        -2.632         1.180   0.903   0.704   3.071
P408 2007.8823         1.937         1.709        -3.520   0.948   0.684   2.761
P408 2009.5989        -2.799        -2.350         4.603   0.980   0.708   2.874
P408 2014.4613        -1.687        -0.765         3.401   1.038   0.754   3.068
P410 2009.5168        -0.355        -4.497        -1.475   1.303   0.940   3.857
P410 2014.4723        -1.992         1.314         2.991   1.060   0.779   3.147
P410 2015.9014        -1.042         0.008        -6.106   1.025   0.760   3.054
P411 2007.9179         1.949         2.772        -1.769   1.025   0.739   3.213
P411 2018.4586         1.590        -2.543         1.649   0.945   0.684   2.954
P412 2009.6646        -1.173        -2.620        -1.779   1.028   0.742   3.000
P412 2014.0452         2.354        -2.162         4.086   1.037   0.745   3.052
P412 2016.1341        -2.410        -2.094        -4.772   0.984   0.714   2.872
P414 2006.8528         1.113         0.774        -4.265   1.419   1.025   4.122
P414 2009.6372        -1.024        -2.803        -3.785   0.946   0.680   2.747
P414 2016.1369        -1.007        -3.301        -5.988   0.958   0.694   2.763
P415 2008.0328         1.553         4.833        -4.173   1.085   0.772   3.184
P415 2012.8925        -0.318         3.136        -2.406   1.437   1.013   4.233
P415 2013.4483        -4.688        -6.914         5.708   1.403   0.989   4.132
P415 2016.8788         1.299         2.361        -3.520   0.968   0.704   2.904
P417 2007.9042         1.252         1.356        -2.176   0.922   0.646   2.671
P417 2016.9007         1.424         0.793        -5.110   0.874   0.611   2.523
P418 2019.0171         3.232        -1.126        -3.302   0.940   0.694   2.739
P419 2018.9733         4.106        -0.277        -0.100   1.154   0.829   3.233
P420 2008.1095         3.935         2.207        -0.450   0.835   0.592   2.360
P420 2009.8042        -6.574        -3.406         3.038   0.875   0.620   2.481
P421 2007.2033        -3.980         1.063        17.704   0.903   0.650   2.783
P422 2016.9281         1.044        -0.123        -4.521   0.806   0.592   2.360
P423 2014.0766        -5.046         2.846         0.714   0.979   0.739   3.455
P423 2017.8891         1.864         2.566        -4.318   0.862   0.664   3.078
P424 2010.6256        -2.854        -4.453         0.388   0.900   0.636   2.594
P425 2009.5989        -2.848        -3.206        -2.505   1.028   0.752   3.071
P427 2009.6126        -0.598        -2.109        -2.165   0.955   0.703   2.855
P427 2016.1369        -0.564        -4.298        -3.250   0.976   0.723   2.931
P429 2015.0582         3.966        -6.655         0.221   0.925   0.660   2.792
P431 2008.7926        -1.845         5.588         0.469   1.314   0.937   3.725
P431 2009.4839        -1.337        -3.149        -2.107   1.177   0.826   3.274
P432 2006.0096        -0.913        -1.861        -4.699   1.012   0.726   3.043
P432 2015.2347        -3.511         6.413         5.981   0.995   0.691   3.038
P432 2016.9227         1.404        -0.030        -3.866   0.929   0.647   2.851
P434 2013.4976        -1.371         0.735         4.546   0.949   0.686   2.720
P435 2008.2409         3.578         1.162         4.741   1.571   0.946   4.891
P435 2009.2953        -1.124        -5.670        -1.454   1.565   0.932   4.859
P437 2013.5003        -0.858         1.109         4.301   1.067   0.774   3.193
P437 2018.9788         1.725         2.465        -0.684   1.053   0.785   3.163
P438 2006.8528         0.232        -2.834        -2.912   1.734   1.238   4.973
P438 2010.6338        -0.268        -2.299        -2.304   0.953   0.666   2.685
P440 2009.1910        -5.646        -1.530        -0.467   1.058   0.736   3.125
P440 2013.5825        -1.997         0.345         3.336   1.144   0.796   3.302
P442 2011.3402         4.697        -2.951         1.090   0.980   0.721   2.852
P442 2014.1738        -1.032         0.516         6.273   1.019   0.756   2.962
P443 2019.6851         7.401         3.160         1.146   1.507   1.072   4.393
P444 2014.5462        -2.090        -0.424         6.319   1.342   1.019   3.925
P445 2013.6235         0.658        -2.085         4.401   0.925   0.655   2.714
P445 2016.9199         1.142         0.225        -4.072   0.785   0.565   2.295
P446 2009.6126        -1.811        -3.267        -3.195   1.019   0.723   2.980
P446 2016.1424        -0.314        -2.117        -4.426   1.000   0.718   2.931
P446 2019.3511         0.362        -3.483        -1.909   1.194   0.856   3.457
P447 2010.0835        -1.877        -1.338        -1.923   0.975   0.701   2.849
P447 2016.8788         2.408        -0.460        -7.847   0.982   0.717   2.866
P448 2013.5441        -1.213         0.784         2.529   0.884   0.629   2.610
P449 2011.6222        -0.497        -0.746         3.910   0.867   0.616   2.531
P451 2005.3607         2.163        -5.184        11.459   1.519   1.069   4.283
P452 2015.5017        -1.233         0.008         6.921   2.848   2.066  10.259
P452 2016.0561        14.917        -1.608       -15.091   2.833   2.057  10.216
P454 2016.9144         0.857         0.169        -3.920   0.751   0.540   2.120
P455 2011.2443        -2.348         7.116        54.121   4.050   3.125  13.418
P455 2011.2909        -0.087         3.088        58.293   5.055   3.888  16.629
P455 2011.3621         2.389       -10.420      -109.487   3.239   2.466  10.424
P456 2011.6359        -0.883         0.460         5.187   0.820   0.603   2.346
P457 2011.6331        -0.325         1.355         5.879   1.062   0.782   3.101
P457 2012.6187        -0.139         4.507         0.790   1.058   0.778   3.092
P457 2014.3053        -4.385        -0.584        -2.798   0.990   0.733   2.883
P457 2018.6721         1.782         2.881         1.700   0.999   0.745   2.892
P459 2012.4627         0.969         1.832         8.829   1.124   1.103   5.564
P460 2017.9247         1.798        -0.436        -3.805   0.775   0.582   2.292
P461 2011.7235         0.543         0.253         6.386   0.891   0.644   2.565
P461 2019.0419         4.932        -3.549        -1.131   0.960   0.706   2.748
P462 2010.2751        -4.375        -1.555         1.143   0.824   0.660   2.958
P462 2012.2437        -1.612         0.283         3.808   0.916   0.729   3.266
P462 2019.5154        -1.721        17.950        -6.934   1.201   0.979   4.263
P463 2010.2861        -3.347         0.334         0.119   0.780   0.657   2.693
P463 2012.2437        -1.477         0.975         3.940   0.857   0.717   2.948
P463 2019.5099       -28.687        24.669        -2.081   1.865   1.595   6.429
P463 2019.7125        -3.788         4.096         1.226   2.126   1.816   7.310
P464 2010.3299        -3.456        -0.459        -2.604   1.204   0.978   4.203
P464 2016.9610        -1.841        -0.057       -10.855   1.035   0.866   3.608
P464 2019.5099      -106.389       -21.053         6.556   2.827   2.337   9.760
P464 2019.6194       -10.802        -0.240         2.919   2.953   2.440  10.177
P465 2010.3463        -3.075         0.996         0.001   1.149   0.915   3.666
P465 2011.4333        -1.426         2.581         4.501   1.137   0.896   3.600
P465 2013.1937         0.465        -0.830         5.727   1.165   0.917   3.704
P465 2017.4292        -3.706         6.245         0.104   1.250   1.013   3.980
P465 2019.5099       -13.129        -1.565         1.398   1.332   1.076   4.243
P466 2010.1930        -5.951        -1.298        -2.207   0.902   0.725   2.931
P466 2017.0322         1.191        -1.064        -7.895   0.894   0.728   2.817
P466 2019.5099       -34.342         1.105         2.101   1.101   0.895   3.442
P467 2010.1519        -1.304        -0.661        -5.075   0.918   0.792   3.451
P467 2017.0075         1.386        -0.286        -8.492   0.888   0.783   3.333
P467 2018.9733         3.301        -2.755        -4.198   1.237   1.106   4.654
P467 2019.5127       -13.979         0.013         1.846   1.479   1.312   5.523
P468 2010.1519        -1.813        -1.476        -5.147   0.860   0.687   2.713
P468 2017.0322         0.820        -1.232        -7.915   0.835   0.680   2.613
P468 2019.1266         1.343        -0.213        -6.813   1.330   1.098   4.208
P468 2019.5127       -10.078         0.796         3.114   1.567   1.284   4.936
P469 2010.1684        -2.365        -1.337        -2.801   0.885   0.718   2.857
P469 2016.9610         0.905        -1.395        -6.972   0.909   0.755   2.937
P469 2019.5127        -7.974         0.091        -1.910   1.173   0.986   3.911
P470 2010.1848        -2.915        -1.242         0.090   0.815   0.692   2.842
