Break estimates and errors in mm.
Break times in years.

                           N             E             V      SN      SE      SV
AC36 2018.9158        11.978         4.380        -1.281   1.154   0.825   3.484
AC37 2009.6754        -3.730         6.847         2.419   1.302   0.917   3.747
AC37 2018.7378         2.455        -3.018         4.332   0.939   0.656   2.751
AC38 2006.1602        -3.028         3.161         3.847   1.485   1.038   4.972
AC38 2009.5195        -4.951         1.711         3.887   1.425   0.998   4.761
AC38 2013.4346        -0.742        -2.585         0.970   1.372   0.968   4.570
AC38 2015.9836         4.113        -1.522        -3.854   1.229   0.856   4.122
AC38 2018.0643        16.036       -27.842        -1.457   1.301   0.900   4.379
AC38 2019.4114         4.009        -3.977        -0.051   1.521   1.059   5.160
AC39 2007.4524         0.167         3.034         0.908   1.110   0.788   3.161
AC39 2015.0664         1.923         0.370        -3.829   0.906   0.644   2.562
AC39 2018.0643         9.703       -16.048        -1.802   1.010   0.714   2.908
AC39 2018.9706         4.614        -2.102         2.141   1.154   0.818   3.329
AC40 2009.0075        -2.165        -0.877         8.882   1.062   0.758   3.089
AC40 2015.9398         1.911         1.352        -3.413   0.972   0.679   2.813
AC40 2018.0616         3.117        -7.519         0.266   0.887   0.612   2.584
AC41 2011.3676        -3.960         1.817        -1.314   0.860   0.624   2.445
AC42 2015.1978         2.745        -0.716        -3.397   0.923   0.660   2.598
AC43 2007.9480         1.775        -0.043        -6.293   1.846   1.290   5.227
